DSP Block Name,CE Net,RST Net,CLK Net,SHIFT_ENA Net,OP[0] Net,OP[1] Net,SHIFTER,SIGNED,RST_SYNC,C_EXT,P_EXT,A_REG,B_REG,C_REG,OP_REG,O_REG,P_REG,W_REG,CASCOUT_SEL,M_SEL,N_SEL,W_SEL,CE_POLARITY,CLK_POLARITY,RST_POLARITY,SHIFT_ENA_POLARITY
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[71].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[72].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[73].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[74].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[75].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[76].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[77].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[78].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[79].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
"systolic_array_9x32_1/top_instance/PE_EL_ROWS[0].PE_EL_COLS[80].genblk1.pe_block/dmx_wb/mult_7","select","gnd","i_clk","gnd","gnd","gnd",0,0,1,"ALIGN_RIGHT","ALIGN_RIGHT",1,1,0,0,0,0,0,"P","P","C","X",1,1,1,1
